,d',triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
71,3.5500000000000003,0.8532314195215722,0.993967356725064,0.988577863088571,0.9836685875539665,0.9784420256777312,0.9784298279071356,0.9212262154916975,0.9269823574523759
72,3.6,0.8587812720071203,0.9945452508178654,0.9896501572766269,0.9851759709926029,0.9804196261458035,0.9804097371145601,0.9244955419288382,0.9307213374372618
73,3.6500000000000004,0.8641731311120188,0.9950734112016664,0.9906330912276072,0.9865610842081002,0.9822387205343983,0.9822307211790313,0.9276462451479988,0.9343110406559807
74,3.7,0.8694087997969842,0.9955555150280428,0.9915328990803862,0.9878320418300033,0.9839095368046726,0.9839030805216086,0.9306817836204946,0.9377545667392841
75,3.75,0.8744902252878631,0.99599502883506,0.992355503928324,0.9889966040180979,0.9854419011939723,0.9854367020137308,0.9336055875192097,0.9410551540866066
76,3.8000000000000003,0.8794194861793723,0.9963952146176287,0.9931065209270822,0.9900621732290803,0.9868452263670912,0.9868410489257682,0.9364210493082842,0.9442161619833285
77,3.85,0.884198780127387,0.996759136337655,0.9937912617969006,0.9910357933486537,0.9881285033866606,0.9881251544457659,0.9391315155818554,0.9472410534044406
78,3.9000000000000004,0.8888304121247963,0.9970896667960946,0.9944147405625983,0.9919241509824133,0.9893002971874112,0.9892976184833285,0.9417402800705533,0.9501333785368886
79,3.95,0.8933167833529654,0.997389494793404,0.9949816803788937,0.9927335786990045,0.9903687452389109,0.9903666074705292,0.9442505777329175,0.9528967590466815
80,4.0,0.8976603805983213,0.9976611325094764,0.995496521294011,0.9934700600212482,0.9913415590845371,0.9913398568720987,0.9466655798484349,0.9555348731109607
81,4.05,0.9018637662214574,0.9979069230388998,0.9959634288107929,0.9941392359649999,0.9922260284504867,0.992224676120606,0.9489883900293461,0.9580514412296353
82,4.1000000000000005,0.9059295686644232,0.9981290480222285,0.9963863031115046,0.9947464129312172,0.9930290276272219,0.9930279556985137,0.9512220410696538,0.9604502128259558
83,4.15,0.9098604734804885,0.9983295353188393,0.9967687888200712,0.9952965717638195,0.9937570238365032,0.9937561760975117,0.953369492551764,0.9627349536404954
84,4.2,0.9136592148696077,0.9985102666718335,0.9971142851834808,0.9957943777942093,0.9944160873097254,0.9944154183960677,0.9554336291338058,0.9649094339184572
85,4.25,0.9173285677020389,0.9986729853202588,0.9974259565623644,0.9962441917025847,0.9950119028173141,0.9950113762082994,0.9574172594437897,0.9669774173860455
86,4.3,0.9208713400120541,0.9988193035186627,0.9977067431292553,0.996650081036175,0.9955497824041228,0.9955493687707856,0.9593231155103158,0.9689426510077939
87,4.3500000000000005,0.924290365943383,0.9989507099285816,0.9979593716815538,0.997015832235097,0.9960346791018073,0.9960343549484545,0.9611538526633897,0.970808855513281
88,4.4,0.9275884991279338,0.999068576851009,0.9981863664847405,0.9973449630274664,0.9964712014057482,0.9964709479559297,0.9629120498430155,0.9725797166785239
89,4.45,0.9307686064794035,0.9991741672731309,0.998390060069753,0.9976407350665412,0.9968636283210122,0.9968634306064309,0.9646002102574935,0.9742588773445631
90,4.5,0.933833562383597,0.9992686417066594,0.998572603916607,0.997906166693859,0.9972159247988296,0.9972157709162532,0.9662207623377002,0.9758499301532986
91,4.55,0.9367862432676102,0.9993530647989076,0.9987359789642265,0.9981440457234181,0.9975317574019448,0.997531637908786,0.9677760609380188,0.9773564109785091
92,4.6000000000000005,0.939629522530438,0.9994284117013217,0.9988820058939786,0.9983569421528302,0.9978145100537583,0.9978144174777803,0.9692683887389308,0.9787817930281624
93,4.65,0.9423662658180839,0.9994955741835168,0.9990123551415429,0.9985472207178988,0.9980672997423014,0.9980672281849763,0.9706999578105655,0.980129481592598
94,4.7,0.9449993266267868,0.9995553664839337,0.9991285565984339,0.9987170532172008,0.9982929920656033,0.9982929368820984,0.9720729113006561,0.9814028094119185
95,4.75,0.9475315422185837,0.9996085308910544,0.9992320089706884,0.9988684305428321,0.9984942165198468,0.9984941740615328,0.9733893252143615,0.9826050326349347
96,4.800000000000001,0.9499657298340453,0.9996557430516775,0.9993239887679249,0.9990031743625042,0.9986733814457599,0.9986733488535806,0.9746512102572334,0.9837393273412778
